NAME_1,NAME_2,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Population_2024,PSGC_Match_Info,Distance_from_Metro Manila_km,No_Work_Count
Tarlac,Camiling,77460,138471,4,1,1,91400,Camiling,142.21223606264013,0
Tarlac,Mayantoc,14545,14501,12,1,1,34091,Mayantoc,134.46513752031686,0
Tarlac,SantaIgnacia,542091,367567,5,1,1,53620,Santa Ignacia,132.21118869155956,0
Tarlac,Paniqui,22881,24163,13,4,2,106190,Paniqui,134.88003838852433,0
Tarlac,Gerona,9339,8920,15,4,2,97937,Gerona,127.71949544129204,0
Pangasinan,Balungao,79981,169721,106,4,1,30678,Balungao,153.87802935936594,0
Pangasinan,Rosales,32866,29212,8,4,2,67510,Rosales,152.06909600542173,0
NuevaEcija,Cuyapo,145738,93548,7,7,6,70919,Cuyapo,142.14042517748774,0
NuevaEcija,Lupao,293847,320792,5,1,1,47175,Lupao,144.88217091342975,0
NuevaEcija,Talugtug,36055,53402,14,19,5,26469,Talugtug,135.64115219727285,0
Tarlac,Anao,22792,28359,4,1,1,12865,Anao,138.32435134767056,0
NuevaEcija,Nampicuan,109166,138070,6,14,5,15297,Nampicuan,135.89593922830903,0
NuevaEcija,Guimba,162546,215658,17,19,5,131468,Guimba,127.53323798842912,0
Tarlac,Ramos,108958,162941,10,1,1,23808,Ramos,129.62189353217823,0
Tarlac,Pura,92435,136347,15,4,3,27017,Pura,124.56231075319268,0
Tarlac,Victoria,244447,256864,4,8,2,71495,Victoria,119.7317258138479,0
NuevaEcija,MuñozCity,315114,330584,10,2,2,0,,125.63134692823306,0
NuevaEcija,SanJoseCity,57657,65337,16,5,1,156714,San Jose City,131.60250036735778,0
NuevaEcija,Quezon,41777,74325,6,3,2,3084270,Quezon City,117.1138017391538,0
NuevaEcija,SantoDomingo,49838,52320,11,3,3,29372,Santo Domingo,114.5967530561871,0
NuevaEcija,Talavera,212307,198637,12,21,3,137444,Talavera,119.75490221914754,0
NuevaEcija,Llanera,8144,7436,10,1,1,44620,Llanera,116.35981943500396,0
Tarlac,SanJose,64896,307662,11,6,1,156714,San Jose City,119.25647379345162,0
Tarlac,TarlacCity,60832,56801,3,4,2,401892,City of Tarlac ,116.9542246455282,0
Tarlac,Capas,62145,17042,26,1,1,162724,Capas,102.44550798132204,0
